Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Cudlip A.C., McDonald A.C., Dickerson C.R.",55836490800;55605144800;57201399404;,Examining joint loading and self-reported exertion and discomfort during ladder handling,2021,International Journal of Industrial Ergonomics,83,,103130,,,,,10.1016/j.ergon.2021.103130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102630384&doi=10.1016%2fj.ergon.2021.103130&partnerID=40&md5=122b76d27f87837bd9502455a2a57832,Ergonomics; Joint moments; Ladder handling; Perceived discomfort,Glass fibers; Wood; 50th percentiles; Back injuries; Data collection; Joint loading; Musculo-skeletal injuries; Perceived exertion; Physical demand; Strength capability; Ladders,Article,Final,,Scopus,2-s2.0-85102630384
"Anwer S., Li H., Antwi-Afari M.F., Wong A.Y.L.",51863267500;8692514900;57195298937;55614711100;,Associations between physical or psychosocial risk factors and work-related musculoskeletal disorders in construction workers based on literature in the last 20 years: A systematic review,2021,International Journal of Industrial Ergonomics,83,,103113,,,,,10.1016/j.ergon.2021.103113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101973049&doi=10.1016%2fj.ergon.2021.103113&partnerID=40&md5=be9bae5f010d2ec2ac6bb09fc0337234,Ergonomics; Occupational health; Physical risk factors; Prevalence; Psychosocial risk factors; Work-related musculoskeletal disorders,Diseases; Job satisfaction; Materials handling; Musculoskeletal system; Risk assessment; Causal relationships; Construction workers; Cross-sectional study; Literature search; Manual material handling; Prospective study; Psychosocial risk factors; Work-related musculoskeletal disorders; Occupational risks,Review,Final,,Scopus,2-s2.0-85101973049
"Madeleine P., Marandi R.Z., Norheim K.L., Andersen J.B., Samani A.",6701448643;57201719747;57194460231;57222067373;25931713300;,Sitting dynamics during computer work are age-dependent,2021,Applied Ergonomics,93,,103391,,,,,10.1016/j.apergo.2021.103391,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101209057&doi=10.1016%2fj.apergo.2021.103391&partnerID=40&md5=aeb4a02dab035adc7dfc8520f174d3d9,Aging; Center of pressure; Motor control; Sitting posture; Variability,Ergonomics; Physical therapy; Anterior posteriors; Center of pressure; Computer users; Computer work; Laboratory studies; Sample entropy; Standard deviation; Dynamics; aging; article; entropy; human; human computer interaction; motor control; sitting,Article,Final,,Scopus,2-s2.0-85101209057
"Chen K., Lou V.W.Q., Lo S.S.C.",57221114074;9846416500;57205117796;,Exploring the acceptance of tablets usage for cognitive training among older people with cognitive impairments: A mixed-methods study,2021,Applied Ergonomics,93,,103381,,,,,10.1016/j.apergo.2021.103381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100691673&doi=10.1016%2fj.apergo.2021.103381&partnerID=40&md5=7bca80d4602253a3e77033b0c7c43d8f,Contextual factors; Technology acceptance model; Volunteers,Ergonomics; Physical therapy; Capacity building; Cognitive impairment; Cognitive training; Cognitively impaired; Facilitating conditions; Individual levels; Questionnaire surveys; Social relationships; Surveys; aged; article; attitude; capacity building; community dwelling person; controlled study; empowerment; Hong Kong; human; learning; mentally disabled person; questionnaire; social interaction; social worker; trust,Article,Final,,Scopus,2-s2.0-85100691673
"Kozinc, Babič J., Šarabon N.",57195296914;6701699940;12902682900;,Human pressure tolerance and effects of different padding materials with implications for development of exoskeletons and similar devices,2021,Applied Ergonomics,93,,103379,,,,,10.1016/j.apergo.2021.103379,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100371535&doi=10.1016%2fj.apergo.2021.103379&partnerID=40&md5=3e74ad711a98d008bc496172318f9325,Algometry; Exoskeleton; Foam; Material; Pain,Ergonomics; Physical therapy; Human pressures; Lower pressures; Pain threshold; Pressure tolerance; Exoskeleton (Robotics); adult; algometry; article; clinical article; controlled study; female; foam; human; human experiment; pain threshold; pelvis; thigh; thorax,Article,Final,,Scopus,2-s2.0-85100371535
"Zhang X., Zhang Q., Li Y., Liu C., Qiu Y.",56518423600;57221741742;57219900724;35226578300;7403279501;,Effect of the thickness of polyurethane foams at the seat pan and the backrest on fore-and-aft in-line and vertical cross-axis seat transmissibility when sitting with various contact conditions of backrest during fore-and-aft vibration,2021,Applied Ergonomics,93,,103354,,,,,10.1016/j.apergo.2021.103354,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100067870&doi=10.1016%2fj.apergo.2021.103354&partnerID=40&md5=bd8bbcd08511981ff98758073561ad18,Cross-axis response; Polyurethane foam; Seat transmissibility,Ergonomics; Physical therapy; Contact conditions; Exposed to; Foam thickness; Polyurethane Foam; Primary resonance; Resonance frequencies; Ride comforts; Whole body vibration; Natural frequencies; polyurethan foam; adult; aft vibration; Article; backrest; controlled study; exposure; foam thickness; fore vibration; frequency modulation; human; male; mathematical analysis; methodology; randomization; rest; seat pan; seat transmissibility; sense of coherence; sitting; spectroscopy; thickness; vertical transmission; vibration; young adult,Article,Final,,Scopus,2-s2.0-85100067870
"Tao D., Diao X., Wang T., Guo J., Qu X.",57221698616;57219942463;56482388500;57210789213;57194640319;,"Freehand interaction with large displays: Effects of body posture, interaction distance and target size on task performance, perceived usability and workload",2021,Applied Ergonomics,93,,103370,,,,,10.1016/j.apergo.2021.103370,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099828292&doi=10.1016%2fj.apergo.2021.103370&partnerID=40&md5=ac89348081ab77927f6d15e30005ebb8,Body posture; Freehand interaction; Interaction distance; Large displays,Physical therapy; Higher efficiency; Interaction distances; Interaction effect; Interaction techniques; Perceived usability; Pointing tasks; Standing posture; Task performance; Ergonomics; adult; article; female; human; human experiment; male; sitting; task performance; usability; workload,Article,Final,,Scopus,2-s2.0-85099828292
"Hwang J., Kumar Yerriboina V.N., Ari H., Kim J.H.",35810273000;57221684538;57216461029;57221684518;,Effects of passive back-support exoskeletons on physical demands and usability during patient transfer tasks,2021,Applied Ergonomics,93,,103373,,,,,10.1016/j.apergo.2021.103373,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099779931&doi=10.1016%2fj.apergo.2021.103373&partnerID=40&md5=d3ec4519274e105962823241e13def3b,Electromyography; Hand pull force; Healthcare ergonomics; Low back demand; Musculoskeletal disorders; Patient handling,Muscle; Patient treatment; Wheelchairs; Adverse effect; Erector spinae; Muscle activities; Patient handling; Patient transfer; Physical demand; Simulated patients; Two directions; Exoskeleton (Robotics),Article,Final,,Scopus,2-s2.0-85099779931
"Trillos-Chacón M.-C., Castillo-M J.A., Tolosa-Guzman I., Sánchez Medina A.F., Ballesteros S.M.",57221527276;57221520677;37011688000;56709635400;57203548934;,Strategies for the prevention of carpal tunnel syndrome in the workplace: A systematic review,2021,Applied Ergonomics,93,,103353,,,,,10.1016/j.apergo.2020.103353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099407350&doi=10.1016%2fj.apergo.2020.103353&partnerID=40&md5=e5b190a5585209f21ca24a9809544465,Carpal tunnel syndrome; Primary and secondary prevention; Workplace,Ergonomics; Industrial hygiene; Mammals; Neurodegenerative diseases; Physical therapy; Risk assessment; Carpal tunnel syndrome; Intervention strategy; Musculoskeletal disorders; Occupational health; Quality assessment; Scientific literature; Systematic Review; Working population; Quality control,Article,Final,,Scopus,2-s2.0-85099407350
"Schall M.C., Jr., Zhang X., Chen H., Gallagher S., Fethke N.B.",54403901100;57221502909;55699438200;7103270330;6505843883;,Comparing upper arm and trunk kinematics between manufacturing workers performing predominantly cyclic and non-cyclic work tasks,2021,Applied Ergonomics,93,,103356,,,,,10.1016/j.apergo.2021.103356,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099290632&doi=10.1016%2fj.apergo.2021.103356&partnerID=40&md5=39d4f8afbe3d0457e6da64acb7c2ac46,Exposure variability; Inertial measurement unit; Low back; Musculoskeletal disorders; Posture; Shoulder,Ergonomics; Physical therapy; Exposure level; Inertial sensor; Manufacturing workers; Movement speed; Musculoskeletal disorders; Trunk kinematics; Trunk movement; Worker exposure; Manufacture; adult; arm movement; Article; body position; comparative study; controlled study; female; human; humerus; industrial worker; kinematics; male; manufacturing industry; middle aged; occupational exposure; shift work; task performance; trunk; velocity,Article,Final,,Scopus,2-s2.0-85099290632
"Abolfotouh M., Alomair F., Alangari D., Bushnak I., Aldebasi B., Almansoof A.",7004386021;57223257150;57219836621;14032982300;57202121958;57223269054;,Epidemiology of work-related lower back pain among rehabilitation professionals in Saudi Arabia,2021,Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,27,4,,390,398,,,10.26719/emhj.21.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105407685&doi=10.26719%2femhj.21.019&partnerID=40&md5=a344fbefec819e52840007465b612126,consequences; ergonomics; occupational lower back pain.; physical therapy; prevalence,,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85105407685
"Kaptelinin V., Björnfot P., Danielsson K.",6603297258;55904430900;36837809400;,"Exploring the Relationship between Physical Presence, User Experience, and Task Parameters in Robotic Telepresence",2021,ACM International Conference Proceeding Series,,,3452874,,,,,10.1145/3452853.3452874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105013272&doi=10.1145%2f3452853.3452874&partnerID=40&md5=fa433d513ad44c5be5c2dc4164d6b54d,Mobile Remote Presence (MRP); navigation difficulty; physical presence; Robotic telepresence; task focus,Cognitive systems; Ergonomics; Navigation; Robotics; Visual communication; Remote location; Subjective rating scale; Tele-presence systems; Telepresence; User experience,Conference Paper,Final,,Scopus,2-s2.0-85105013272
"Millo F., Gesualdo M., Fraboni F., Giusino D.",57223132756;57216867540;57192432867;57212677921;,Human Likeness in robots: Differences between industrial and non-industrial robots,2021,ACM International Conference Proceeding Series,,,3452886,,,,,10.1145/3452853.3452886,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105008363&doi=10.1145%2f3452853.3452886&partnerID=40&md5=f41d04adce865e46e65c8428876e7e75,anthropomorphism; cognitive processes in design; collaborative robots; Industrial robots; uncanny valley,Anthropomorphic robots; Cognitive systems; Ergonomics; Empirical findings; Human likeness; Human-likeness in robots; Industrial context; Literature reviews; Morphological features; Physical features; Theoretical framework; Industrial robots,Conference Paper,Final,,Scopus,2-s2.0-85105008363
"Rossato C., Orso V., Pluchino P., Gamberini L.",57212106226;55548523000;18038486400;6603650210;,Adaptive Assembly Workstations and cobots: A qualitative assessment involving senior and adult workers,2021,ACM International Conference Proceeding Series,,,3452883,,,,,10.1145/3452853.3452883,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104997930&doi=10.1145%2f3452853.3452883&partnerID=40&md5=7c573fc7c85908cc99568b385f0f3283,Collaborative robots; Human-robot collaboration; Semi-structured interview,Ergonomics; Robots; Collaborative robots; Cutting edges; Design proposal; Flexible production; Market demand; Physical features; Qualitative assessments; Semi structured interviews; Cognitive systems,Conference Paper,Final,,Scopus,2-s2.0-85104997930
"Bonanno I., Marti P.",57203539387;15623736800;,Sustainable Fitness,2021,ACM International Conference Proceeding Series,,,3452884,,,,,10.1145/3452853.3452884,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104958684&doi=10.1145%2f3452853.3452884&partnerID=40&md5=b5aafa7a1fd12dbba81173657c1a3f18,Clean energy; Experience design; Persuasive technology; Physical Training; User Interface Design,Carbon footprint; Cognitive systems; Energy conversion; Ergonomics; Exercise equipment; Motivation; Recreational facilities; Sustainable development; Converting equipment; Ecological impacts; Environmental awareness; Environmental sustainability; Extrinsic motivation; Individual performance; Interface prototype; Sustainable behaviours; Environmental impact,Conference Paper,Final,,Scopus,2-s2.0-85104958684
"Boyd K., Bond R.",55212439400;36019802200;,Can micro interactions in user interfaces affect their perceived usability?,2021,ACM International Conference Proceeding Series,,,3452865,,,,,10.1145/3452853.3452865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104932276&doi=10.1145%2f3452853.3452865&partnerID=40&md5=d4daaa64ecc2b13a9f092d418ce22105,Micro animations; Micro interactions; User Experience; User Interfaces,Cognitive systems; Ergonomics; Fasteners; Smartphones; Direct manipulation; Interface elements; Interface transitions; Perceived usability; Physical objects; User feedback; User interaction; Visual response; User interfaces,Conference Paper,Final,,Scopus,2-s2.0-85104932276
"Remy C., Harboe G., Frich J., Biskjaer M.M., Dalsgaard P.",55553728077;14035468800;57202545245;55696431900;26221640200;,Challenges and Opportunities in the Design of Digital Distributed Affinity Diagramming Tools,2021,ACM International Conference Proceeding Series,,,3452871,,,,,10.1145/3452853.3452871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104929175&doi=10.1145%2f3452853.3452871&partnerID=40&md5=6ba4d5a9133a3c715a23e3ab1547101a,Affinity Diagramming; Global Virtual Teams; Qualitative Analysis; Sense-making,Cognitive systems; Digital devices; Ergonomics; User experience; Affinity diagram; Design research; Distributed teams; Online collaboration tools; Physical affinities; Qualitative data; Remote observation; Semi structured interviews; Design,Conference Paper,Final,,Scopus,2-s2.0-85104929175
"Kadir B.A., Broberg O.",57204217141;6603560506;,Human-centered design of work systems in the transition to industry 4.0,2021,Applied Ergonomics,92,,103334,,,,1,10.1016/j.apergo.2020.103334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097241849&doi=10.1016%2fj.apergo.2020.103334&partnerID=40&md5=55efdda03ffe0abff8e10f192a06cda2,Cyber-physical systems; Digital factory; Digital transformation; Digitalization; Operator 4.0,Ergonomics; Case-studies; Digital technologies; Human factors and ergonomics; Human-centered designs; Industrial companies; Sociotechnical; Strategy designs; Work system; Industry 4.0; article; ergonomics; human; retrospective study; universal design,Article,Final,,Scopus,2-s2.0-85097241849
"Figueredo L.F.C., Aguiar R.C., Chen L., Chakrabarty S., Dogar M.R., Cohn A.G.",57217856344;57221246255;57207203809;23007334600;22939838000;7005699215;,Human Comfortability: Integrating Ergonomics and Muscular-Informed Metrics for Manipulability Analysis during Human-Robot Collaboration,2021,IEEE Robotics and Automation Letters,6,2,9286730,351,358,,,10.1109/LRA.2020.3043173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097925186&doi=10.1109%2fLRA.2020.3043173&partnerID=40&md5=ea18185d2c1a2d646f313895ccf2543d,human factors and human-in-the-loop; Human-centered robotics; physical human-robot interaction,Agricultural robots; Biomechanics; Electronic assessment; Ergonomics; Human manipulation; Human-robot collaboration; Joint constraint; Manipulability analysis; Manipulation task; Metric combining; Numerical evidence; Quality distribution; Social robots,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85097925186
"Kang S.H., Lee J., Jin S.",57219970952;57219972513;23985366100;,Effect of standing desk use on cognitive performance and physical workload while engaged with high cognitive demand tasks,2021,Applied Ergonomics,92,,103306,,,,,10.1016/j.apergo.2020.103306,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096353765&doi=10.1016%2fj.apergo.2020.103306&partnerID=40&md5=1b8a68559f2b538e0091d9490b0ef4cd,Cognitive performance; CoP regularity; Standing workstation,Ergonomics; Physical therapy; Cognitive demands; Cognitive performance; Cognitive resources; Executive function; Kinematic variables; Physical workloads; Tetris game; Coefficient of performance; adult; article; attention; clinical article; controlled study; executive function; female; human; human experiment; investment; male; sitting; workload,Article,Final,,Scopus,2-s2.0-85096353765
"Czerniak J.N., Schierhorst N., Villani V., Sabattini L., Brandl C., Mertens A., Schwalm M., Nitsch V.",57190274334;57218312183;42862575700;55210391800;54882881400;35746549300;16022988800;25929508000;,The Index of Cognitive Activity - Eligibility for task-evoked informational strain and robustness towards visual influences,2021,Applied Ergonomics,92,,103342,,,,,10.1016/j.apergo.2020.103342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098173336&doi=10.1016%2fj.apergo.2020.103342&partnerID=40&md5=f480e4f372f48b99c09dd38290a9c492,Index of Cognitive Activity (ICA); Visual stimuli; Workload,Physical therapy; Cognitive activities; Field conditions; Index of cognitive activities; Mental arithmetic; Multiple levels; Objective and subjective measures; Objective assessment; Task difficulty; Ergonomics; adult; article; clinical article; human; human experiment; illumination; mental arithmetic; workload,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85098173336
"Sobierajska-Rek A., Mański Ł., Jabłońska-Brudło J., Śledzińska K., Ucińska A., Wierzba J.",36601451900;57220927103;15755721500;36185981200;57220930725;6603350564;,Establishing a telerehabilitation program for patients with Duchenne muscular dystrophy in the COVID-19 pandemic,2021,Wiener Klinische Wochenschrift,133,07-Aug,,344,350,,,10.1007/s00508-020-01786-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097886897&doi=10.1007%2fs00508-020-01786-8&partnerID=40&md5=4bd7e71edb30869d7776829e9ccc8772,Digital rehabilitation; Home-based exercise; Motor assessment; Neuromuscular disease; Physical therapy,"Article; body position; breathing exercise; caregiver; child; controlled study; coronavirus disease 2019; Duchenne muscular dystrophy; ergonomics; exercise; expectation; human; Internet; lower limb; major clinical study; male; motor dysfunction assessment; pandemic; photography; physiotherapist; physiotherapy; pilot study; practice guideline; questionnaire; rehabilitation medicine; school child; stretching; stretching exercise; telerehabilitation; upper limb; videorecording; workshop; Duchenne muscular dystrophy; pandemic; COVID-19; Humans; Male; Muscular Dystrophy, Duchenne; Pandemics; SARS-CoV-2; Telerehabilitation",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85097886897
"Seidel D.H., Heinrich K., Hermanns-Truxius I., Ellegast R.P., Barrero L.H., Rieger M.A., Steinhilber B., Weber B.",55303635600;57220131458;57220935452;22233390100;57208560675;57220932915;16940187700;56921261400;,Assessment of work-related hand and elbow workloads using measurement-based TLV for HAL,2021,Applied Ergonomics,92,,103310,,,,,10.1016/j.apergo.2020.103310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097879829&doi=10.1016%2fj.apergo.2020.103310&partnerID=40&md5=19da547ca23a728055d3a4c476ba5f98,Exposure assessment; Measurement-based TLV for HAL; Work-related upper extremity disorder,Ergonomics; Physical therapy; Confidence interval; Direct measurement; Electromyographic; Mean power frequency; Multi-sensor systems; Root mean square values; Surface electromyography; Threshold limit values; Voltage dividers; adult; Article; cohort analysis; confidence interval; controlled study; cross-sectional study; elbow; electromyography; female; hand; human; human experiment; kinematics; male; normal human; odds ratio; threshold limit value; threshold limit value for hand activity level; voltammetry; work; workload; wrist,Article,Final,,Scopus,2-s2.0-85097879829
